loan_id,age,income,employment_status,loan_amount,interest_rate,loan_term,credit_score,past_due_payments,on_time_payments,collateral,loan_type,default
1,54,38828,Employed,6509,5.48,36,705,5,21,Vehicle,Auto,0
2,48,27806,Unemployed,49773,15.47,48,577,3,19,Property,Auto,1
3,21,144288,Unemployed,27976,9.49,24,587,4,23,Property,Auto,0
4,23,128709,Employed,33284,8.18,12,511,3,48,None,Personal,1
5,36,116646,Unemployed,32022,14.91,12,740,7,12,None,Personal,1
6,43,102841,Unemployed,44814,10.73,24,767,7,38,None,Business,0
7,27,141790,Unemployed,13924,7.8,24,473,1,33,Vehicle,Home,0
8,43,53148,Employed,27088,11.17,24,473,6,27,None,Business,0
9,59,132261,Unemployed,12718,15.94,24,369,9,16,Vehicle,Home,1
10,49,97470,Employed,32316,9.82,60,522,9,30,Vehicle,Personal,1
11,45,30883,Employed,49541,14.09,24,458,6,34,None,Home,1
12,25,109399,Self-Employed,13482,6.91,36,652,5,17,Property,Business,0
13,29,123618,Employed,14423,12.36,48,682,0,28,Vehicle,Auto,0
14,26,51329,Self-Employed,3358,12.68,12,661,0,44,Vehicle,Home,0
15,57,108563,Self-Employed,22953,8.08,24,585,0,47,Property,Home,0
16,39,34419,Employed,5612,11.2,24,627,4,27,Property,Business,0
17,64,31728,Employed,35847,17.88,24,591,9,35,Property,Home,0
18,41,76613,Unemployed,41028,6.24,36,571,0,39,Property,Business,0
19,41,129438,Unemployed,41679,5.36,60,671,2,33,None,Business,0
20,22,130957,Self-Employed,38537,10.71,24,593,8,15,Property,Business,0
21,41,137876,Unemployed,42856,10.99,24,843,2,22,Property,Auto,0
22,29,75693,Unemployed,1941,13.9,60,623,9,31,Property,Business,1
23,36,68996,Self-Employed,48957,8.63,24,324,6,31,None,Business,0
24,61,146384,Employed,49035,11.65,24,348,2,16,None,Personal,1
25,30,111042,Unemployed,9561,6.58,12,735,6,39,None,Auto,0
26,42,37840,Employed,15495,7.14,12,753,7,41,None,Business,0
27,37,73700,Unemployed,22673,17.78,60,720,1,14,None,Auto,0
28,57,26184,Unemployed,24231,8.88,24,504,9,22,Vehicle,Personal,1
29,33,148805,Unemployed,29411,16.01,60,509,5,19,Vehicle,Home,1
30,37,48835,Self-Employed,49599,9.99,12,560,2,24,None,Auto,0
31,43,89028,Unemployed,49200,13.63,12,766,8,34,Vehicle,Home,0
32,50,97539,Unemployed,8008,10.33,48,636,3,5,Vehicle,Business,0
33,33,28449,Unemployed,9861,9.01,12,518,8,47,Vehicle,Auto,0
34,33,65564,Unemployed,24324,12.23,48,445,7,7,Vehicle,Business,0
35,45,21029,Employed,3699,9.75,24,576,4,15,Property,Personal,0
36,21,60657,Unemployed,18056,11.67,60,637,2,49,Property,Personal,0
37,57,83939,Unemployed,24512,17.41,12,708,7,39,Vehicle,Business,0
38,30,98253,Self-Employed,43364,17.37,48,397,2,15,Property,Personal,0
39,57,29064,Unemployed,20123,12.52,48,701,3,43,Vehicle,Business,0
40,36,83796,Unemployed,25914,7.31,36,300,9,16,Vehicle,Home,1
41,57,73499,Employed,1717,17.24,48,703,6,7,Vehicle,Auto,0
42,58,73512,Self-Employed,14189,9.98,48,461,1,10,Vehicle,Auto,0
43,41,97381,Self-Employed,43369,9.21,60,623,2,14,Vehicle,Business,0
44,40,126542,Self-Employed,11126,16.09,12,815,1,42,None,Auto,0
45,31,27816,Unemployed,33426,9.01,36,799,2,28,None,Home,1
